"";"classe";"mes";"ano";"total_adm";"total_dem";"var_abs";"ano_calculo";"qntd_total_clt_dez_ano_anterior";"estoque_inicial";"estoque_final";"var_relativo";"ind_emprego";"min_adm_dem";"taxa_rotatividade";"e0_taxa_rotatividade";"resultados_taxa_rotatividade";"mes_ano"
"1";"Setor criativo";12;2024;2805;-2920;-115;2024;56854;56969;56854;-0,201864171742527;99,7981358282575;2805;4,9237304498938;4,9237304498938;1;2024-12-01
"2";"Setor criativo";11;2024;3226;-3138;88;2024;56854;56881;56969;0,1547089537807;100,154708953781;3138;5,51678064731633;4,9237304498938;1,12;2024-11-01
"3";"Setor criativo";10;2024;3690;-3305;385;2024;56854;56496;56881;0,681464174454829;100,681464174455;3305;5,84997167941093;4,9237304498938;1,188;2024-10-01
"4";"Setor criativo";9;2024;3523;-3091;432;2024;56854;56064;56496;0,770547945205479;100,770547945205;3091;5,51334189497717;4,9237304498938;1,12;2024-09-01
"5";"Setor criativo";8;2024;3857;-3275;582;2024;56854;55482;56064;1,0489888612523;101,048988861252;3275;5,9028153274936;4,9237304498938;1,199;2024-08-01
"6";"Setor criativo";7;2024;4032;-3648;384;2024;56854;55098;55482;0,696939997822063;100,696939997822;3648;6,62092997930959;4,9237304498938;1,345;2024-07-01
"7";"Setor criativo";6;2024;3764;-3114;650;2024;56854;54448;55098;1,1937995885983;101,193799588598;3114;5,71921833676168;4,9237304498938;1,162;2024-06-01
"8";"Setor criativo";5;2024;3301;-3305;-4;2024;56854;54452;54448;-0,00734591934180563;99,9926540806582;3301;6,06221993682509;4,9237304498938;1,231;2024-05-01
"9";"Setor criativo";4;2024;3741;-3308;433;2024;56854;54019;54452;0,80156981802699;100,801569818027;3308;6,12377126566579;4,9237304498938;1,244;2024-04-01
"10";"Setor criativo";3;2024;3758;-3621;137;2024;56854;53882;54019;0,254259307375376;100,254259307375;3621;6,72024052559296;4,9237304498938;1,365;2024-03-01
"11";"Setor criativo";2;2024;3569;-3181;388;2024;56854;53494;53882;0,725314988596852;100,725314988597;3181;5,9464612853778;4,9237304498938;1,208;2024-02-01
"12";"Setor criativo";1;2024;3242;-3323;-81;2024;56854;53575;53494;-0,151189920671955;99,848810079328;3242;6,05132991133924;4,9237304498938;1,229;2024-01-01
"13";"Setor criativo";12;2023;2733;-2811;-78;2024;56854;53653;53575;-0,145378636795706;99,8546213632043;2733;5,09384377388031;4,9237304498938;1,035;2023-12-01
"14";"Setor criativo";11;2023;3001;-2904;97;2024;56854;53556;53653;0,181118828889387;100,181118828889;2904;5,42236164015236;4,9237304498938;1,101;2023-11-01
"15";"Setor criativo";10;2023;3310;-3069;241;2024;56854;53315;53556;0,452030385444997;100,452030385445;3069;5,75635374660039;4,9237304498938;1,169;2023-10-01
