"";"ano";"trimestre";"resultados"
"1";"2008";"I";"138.573309130327"
"2";"2008";"II";"143.794543863374"
"3";"2008";"III";"145.40067681174301"
"4";"2008";"IV";"130.45107779511"
"5";"2009";"I";"120.54047223221799"
"6";"2009";"II";"126.30157937399599"
"7";"2009";"III";"134.54486653693399"
"8";"2009";"IV";"140.703806175528"
"9";"2010";"I";"147.16654804435402"
"10";"2010";"II";"148.562428761397"
"11";"2010";"III";"153.014580915148"
"12";"2010";"IV";"155.521261430518"
"13";"2011";"I";"161.31581595441401"
"14";"2011";"II";"163.34292430905199"
"15";"2011";"III";"161.85680743487001"
"16";"2011";"IV";"161.348916736229"
"17";"2012";"I";"157.743312709256"
"18";"2012";"II";"162.08812073039002"
"19";"2012";"III";"160.729177010168"
"20";"2012";"IV";"160.02402168781401"
"21";"2013";"I";"159.67797472711999"
"22";"2013";"II";"160.84565937952399"
"23";"2013";"III";"159.362641169368"
"24";"2013";"IV";"160.60715074576299"
"25";"2014";"I";"160.22455192518601"
"26";"2014";"II";"163.112000607521"
"27";"2014";"III";"168.22457868094301"
"28";"2014";"IV";"169.74986342666202"
"29";"2015";"I";"168.95664795875601"
"30";"2015";"II";"161.66268083056099"
"31";"2015";"III";"163.04730927901102"
"32";"2015";"IV";"155.000053166387"
"33";"2016";"I";"154.902599533895"
"34";"2016";"II";"151.252565106091"
"35";"2016";"III";"154.26386631202399"
"36";"2016";"IV";"155.835755197195"
"37";"2017";"I";"153.92289152024901"
"38";"2017";"II";"156.45542210393398"
"39";"2017";"III";"153.56804936018699"
"40";"2017";"IV";"154.363724697013"
"41";"2018";"I";"157.85420147502199"
"42";"2018";"II";"161.50687968058099"
"43";"2018";"III";"158.57743137225299"
"44";"2018";"IV";"158.26135667420002"
"45";"2019";"I";"157.51189440856601"
"46";"2019";"II";"150.761701820844"
"47";"2019";"III";"153.17564999946501"
"48";"2019";"IV";"150.760664042352"
"49";"2020";"I";"150.18659965273099"
"50";"2020";"II";"131.62183042691299"
"51";"2020";"III";"147.23516961528"
"52";"2020";"IV";"154.19640144287501"
"53";"2021";"I";"154.25915792660601"
"54";"2021";"II";"152.56214778939201"
"55";"2021";"III";"156.016213557187"
"56";"2021";"IV";"159.87488430150799"
"57";"2022";"I";"155.37969738458199"
"58";"2022";"II";"155.56452880662499"
"59";"2022";"III";"150.953309735765"
"60";"2022";"IV";"149.09674026584401"
"61";"2023";"I";"155.60423348913699"
"62";"2023";"II";"158.06458635899102"
"63";"2023";"III";"158.97609040231399"
"64";"2023";"IV";"158.71853762462501"
"65";"2024";"I";"158.89048990911701"
"66";"2024";"II";"159.91297998336"
"67";"2024";"III";"161.669655598849"
"68";"2024";"IV";"160.839753766249"
