"";"ano";"trimestre";"pib_nominal_ajustado_ao_benchmark_anual";"acumulado_em_quatro_trimestres";"ano_trim"
"1";"2008";"I";"16.79464390341251";"63.731239983550182";"2008.I"
"2";"2008";"II";"19.051212781493678";"67.544807452724527";"2008.II"
"3";"2008";"III";"19.008961259767862";"71.231112524047049";"2008.III"
"4";"2008";"IV";"17.23634015217737";"72.09115809685143";"2008.IV"
"5";"2009";"I";"15.27432836901874";"70.570842562457642";"2009.I"
"6";"2009";"II";"17.215543517718938";"68.735173298682895";"2009.II"
"7";"2009";"III";"17.955310489366379";"67.681522528281434";"2009.III"
"8";"2009";"IV";"18.770178354730188";"69.215360730834249";"2009.IV"
"9";"2010";"I";"19.37328641339505";"73.314318775210552";"2010.I"
"10";"2010";"II";"21.43106895085554";"77.529844208347157";"2010.II"
"11";"2010";"III";"21.904950717849381";"81.479484436830163";"2010.III"
"12";"2010";"IV";"22.60097846246347";"85.310284544563444";"2010.IV"
"13";"2011";"I";"24.553227712213868";"90.490225843382277";"2011.I"
"14";"2011";"II";"27.232202405159409";"96.291359297686128";"2011.II"
"15";"2011";"III";"26.698989621454771";"101.08539820129151";"2011.III"
"16";"2011";"IV";"27.491802444451778";"105.97622218327984";"2011.IV"
"17";"2012";"I";"27.605477968417048";"109.02847243948301";"2012.I"
"18";"2012";"II";"30.40908869710503";"112.20535873142863";"2012.II"
"19";"2012";"III";"29.471262435727812";"114.97763154570167";"2012.III"
"20";"2012";"IV";"29.36475144104195";"116.85058054229185";"2012.IV"
"21";"2013";"I";"27.96644104332491";"117.21154361719971";"2013.I"
"22";"2013";"II";"30.332387903572059";"117.13484282366674";"2013.II"
"23";"2013";"III";"29.139523495140651";"116.80310388307956";"2013.III"
"24";"2013";"IV";"29.83599449884386";"117.27434694088149";"2013.IV"
"25";"2014";"I";"29.578344875224349";"118.88625077278091";"2014.I"
"26";"2014";"II";"33.104398642308219";"121.65826151151708";"2014.II"
"27";"2014";"III";"33.218052728870809";"125.73679074524723";"2014.III"
"28";"2014";"IV";"32.882984900502507";"128.78378114690588";"2014.IV"
"29";"2015";"I";"30.914885787071618";"130.12032205875315";"2015.I"
"30";"2015";"II";"31.433046845404419";"128.44897026184935";"2015.II"
"31";"2015";"III";"30.176427133302401";"125.40734466628096";"2015.III"
"32";"2015";"IV";"27.841620152167209";"120.36597991794565";"2015.IV"
"33";"2016";"I";"26.970103493847791";"116.42119762472183";"2016.I"
"34";"2016";"II";"28.05859303866313";"113.04674381798051";"2016.II"
"35";"2016";"III";"27.130790416661849";"110.00110710134";"2016.III"
"36";"2016";"IV";"27.1049361456075";"109.26442309478027";"2016.IV"
"37";"2017";"I";"26.31414456398624";"108.60846416491871";"2017.I"
"38";"2017";"II";"29.340066088888282";"109.88993721514387";"2017.II"
"39";"2017";"III";"28.313019603781918";"111.07216640226395";"2017.III"
"40";"2017";"IV";"29.43270653487934";"113.39993679153579";"2017.IV"
"41";"2018";"I";"30.79400386984393";"117.87979609739347";"2018.I"
"42";"2018";"II";"36.129691521380579";"124.66942152988578";"2018.II"
"43";"2018";"III";"34.972917779820861";"131.32931970592472";"2018.III"
"44";"2018";"IV";"35.123441702841916";"137.02005487388732";"2018.IV"
"45";"2019";"I";"33.67923975483064";"139.905290758874";"2019.I"
"46";"2019";"II";"35.464638487059759";"139.2402377245532";"2019.II"
"47";"2019";"III";"34.482475542413226";"138.74979548714555";"2019.III"
"48";"2019";"IV";"33.719241649752242";"137.34559543405587";"2019.IV"
"49";"2020";"I";"32.405555734652978";"136.07191141387821";"2020.I"
"50";"2020";"II";"31.366671437815143";"131.97394436463358";"2020.II"
"51";"2020";"III";"35.332375499405202";"132.82384432162553";"2020.III"
"52";"2020";"IV";"39.341319690144772";"138.44592236201808";"2020.IV"
"53";"2021";"I";"41.257636024826375";"147.29800265219149";"2021.I"
"54";"2021";"II";"47.947165561450788";"163.87849677582713";"2021.II"
"55";"2021";"III";"48.601542478814821";"177.14766375523678";"2021.III"
"56";"2021";"IV";"48.530160706333028";"186.33650477142501";"2021.IV"
"57";"2022";"I";"44.99037579570463";"190.0692445423033";"2022.I"
"58";"2022";"II";"48.963323488088662";"191.08540246894117";"2022.II"
"59";"2022";"III";"44.423635234351359";"186.90749522447769";"2022.III"
"60";"2022";"IV";"44.171255217794531";"182.5485897359392";"2022.IV"
"61";"2023";"I";"47.232465507892385";"184.79067944812692";"2023.I"
"62";"2023";"II";"55.288112832229992";"191.11546879226825";"2023.II"
"63";"2023";"III";"53.745174318380421";"200.43700787629734";"2023.III"
"64";"2023";"IV";"53.563979628326273";"209.82973228682903";"2023.IV"
"65";"2024";"I";"53.092739323361108";"215.69000610229779";"2024.I"
"66";"2024";"II";"60.022998832444443";"220.42489210251225";"2024.II"
"67";"2024";"III";"57.99662676394582";"224.67634454807765";"2024.III"
"68";"2024";"IV";"57.284366270174488";"228.39673118992587";"2024.IV"
